date,buy_avg_open_price,buy_margin,buy_pnl,buy_quantity,contract_multiplier,last_price,margin,margin_rate,order_book_id,sell_avg_open_price,sell_margin,sell_pnl,sell_quantity,symbol
2018-12-18,0.0,0.0,0.0,0.0,300.0,3128.4,7038900.0,0.15,IF88,3319.348,7038900.0,2864220.0,50.0,沪深主力连续
2018-12-19,0.0,0.0,0.0,0.0,300.0,3091.8,6956550.0,0.15,IF88,3319.348,6956550.0,3413220.0,50.0,沪深主力连续
2018-12-20,0.0,0.0,0.0,0.0,300.0,3073.2,6914700.0,0.15,IF88,3319.348,6914700.0,3692220.0,50.0,沪深主力连续
2018-12-21,0.0,0.0,0.0,0.0,300.0,3034.2,6826950.0,0.15,IF88,3319.348,6826950.0,4277220.0,50.0,沪深主力连续
2018-12-24,0.0,0.0,0.0,0.0,300.0,3037.0,6833250.0,0.15,IF88,3319.348,6833250.0,4235220.0,50.0,沪深主力连续
2018-12-25,0.0,0.0,0.0,0.0,300.0,3018.0,6790500.0,0.15,IF88,3319.348,6790500.0,4520220.0,50.0,沪深主力连续
2018-12-26,0.0,0.0,0.0,0.0,300.0,3005.0,6761250.0,0.15,IF88,3319.348,6761250.0,4715220.0,50.0,沪深主力连续
2018-12-27,0.0,0.0,0.0,0.0,300.0,2995.8,6740550.0,0.15,IF88,3319.348,6740550.0,4853220.0,50.0,沪深主力连续
2018-12-28,0.0,0.0,0.0,0.0,300.0,2996.0,6741000.0,0.15,IF88,3319.348,6741000.0,4850220.0,50.0,沪深主力连续
2019-01-02,0.0,0.0,0.0,0.0,300.0,2962.2,6664950.0,0.15,IF88,3319.348,6664950.0,5357220.0,50.0,沪深主力连续
2019-01-03,0.0,0.0,0.0,0.0,300.0,2962.6,6665850.0,0.15,IF88,3319.348,6665850.0,5351220.0,50.0,沪深主力连续
2019-01-04,0.0,0.0,0.0,0.0,300.0,3041.4,6843150.0,0.15,IF88,3319.348,6843150.0,4169220.0,50.0,沪深主力连续
2019-01-07,0.0,0.0,0.0,0.0,300.0,3047.2,6856200.0,0.15,IF88,3319.348,6856200.0,4082220.0,50.0,沪深主力连续
2019-01-08,0.0,0.0,0.0,0.0,300.0,3050.6,6863850.0,0.15,IF88,3319.348,6863850.0,4031220.0,50.0,沪深主力连续
2019-01-09,0.0,0.0,0.0,0.0,300.0,3072.0,6912000.0,0.15,IF88,3319.348,6912000.0,3710220.0,50.0,沪深主力连续
2019-01-10,0.0,0.0,0.0,0.0,300.0,3075.6,6920100.0,0.15,IF88,3319.348,6920100.0,3656220.0,50.0,沪深主力连续
2019-01-11,0.0,0.0,0.0,0.0,300.0,3099.2,6973200.0,0.15,IF88,3319.348,6973200.0,3302220.0,50.0,沪深主力连续
2019-01-14,0.0,0.0,0.0,0.0,300.0,3070.8,6909300.0,0.15,IF88,3319.348,6909300.0,3728220.0,50.0,沪深主力连续
2019-01-15,0.0,0.0,0.0,0.0,300.0,3130.0,7042500.0,0.15,IF88,3319.348,7042500.0,2840220.0,50.0,沪深主力连续
2019-01-16,0.0,0.0,0.0,0.0,300.0,3129.4,7041150.0,0.15,IF88,3319.348,7041150.0,2849220.0,50.0,沪深主力连续
2019-01-17,0.0,0.0,0.0,0.0,300.0,3114.6,7007850.0,0.15,IF88,3319.348,7007850.0,3071220.0,50.0,沪深主力连续
2019-01-18,0.0,0.0,0.0,0.0,300.0,3170.0,7132500.0,0.15,IF88,3319.348,7132500.0,2240220.0,50.0,沪深主力连续
2019-01-21,0.0,0.0,0.0,0.0,300.0,3186.6,7169850.0,0.15,IF88,3319.348,7169850.0,1991220.0,50.0,沪深主力连续
2019-01-22,0.0,0.0,0.0,0.0,300.0,3147.2,7081200.0,0.15,IF88,3319.348,7081200.0,2582220.0,50.0,沪深主力连续
2019-01-23,0.0,0.0,0.0,0.0,300.0,3138.4,7061400.0,0.15,IF88,3319.348,7061400.0,2714220.0,50.0,沪深主力连续
2019-01-24,0.0,0.0,0.0,0.0,300.0,3164.4,7119900.0,0.15,IF88,3319.348,7119900.0,2324220.0,50.0,沪深主力连续
2019-01-25,0.0,0.0,0.0,0.0,300.0,3188.8,7174800.0,0.15,IF88,3319.348,7174800.0,1958220.0,50.0,沪深主力连续
2019-01-28,0.0,0.0,0.0,0.0,300.0,3185.2,7166700.0,0.15,IF88,3319.348,7166700.0,2012220.0,50.0,沪深主力连续
2019-01-29,0.0,0.0,0.0,0.0,300.0,3200.0,7200000.0,0.15,IF88,3319.348,7200000.0,1790220.0,50.0,沪深主力连续
2019-01-30,0.0,0.0,0.0,0.0,300.0,3178.6,7151850.0,0.15,IF88,3319.348,7151850.0,2111220.0,50.0,沪深主力连续
2019-01-31,0.0,0.0,0.0,0.0,300.0,3207.4,7216650.0,0.15,IF88,3319.348,7216650.0,1679220.0,50.0,沪深主力连续
2019-02-01,0.0,0.0,0.0,0.0,300.0,3261.4,7338150.0,0.15,IF88,3319.348,7338150.0,869220.0,50.0,沪深主力连续
2019-02-11,0.0,0.0,0.0,0.0,300.0,3305.6,7437600.0,0.15,IF88,3319.348,7437600.0,206220.0,50.0,沪深主力连续
2019-02-12,0.0,0.0,0.0,0.0,300.0,3330.0,7492500.0,0.15,IF88,3319.348,7492500.0,-159780.0,50.0,沪深主力连续
2019-02-13,0.0,0.0,0.0,0.0,300.0,3405.2,7661700.0,0.15,IF88,3319.348,7661700.0,-1287780.0,50.0,沪深主力连续
2019-02-14,0.0,0.0,0.0,0.0,300.0,3411.8,7676550.0,0.15,IF88,3319.348,7676550.0,-1386780.0,50.0,沪深主力连续
2019-02-15,0.0,0.0,0.0,0.0,300.0,3352.6,7543350.0,0.15,IF88,3319.348,7543350.0,-498780.0,50.0,沪深主力连续
2019-02-18,0.0,0.0,0.0,0.0,300.0,3447.4,7756650.0,0.15,IF88,3319.348,7756650.0,-1920780.0,50.0,沪深主力连续
2019-02-19,0.0,0.0,0.0,0.0,300.0,3438.0,7735500.0,0.15,IF88,3319.348,7735500.0,-1779780.0,50.0,沪深主力连续
2019-02-20,0.0,0.0,0.0,0.0,300.0,3449.6,7761600.0,0.15,IF88,3319.348,7761600.0,-1953780.0,50.0,沪深主力连续
2019-02-21,0.0,0.0,0.0,0.0,300.0,3448.0,7758000.0,0.15,IF88,3319.348,7758000.0,-1929780.0,50.0,沪深主力连续
2019-02-22,0.0,0.0,0.0,0.0,300.0,3539.8,7964550.0,0.15,IF88,3319.348,7964550.0,-3306780.0,50.0,沪深主力连续
2019-02-25,0.0,0.0,0.0,0.0,300.0,3800.2,8550450.0,0.15,IF88,3319.348,8550450.0,-7212780.0,50.0,沪深主力连续
2019-02-26,0.0,0.0,0.0,0.0,300.0,3701.8,8329050.0,0.15,IF88,3319.348,8329050.0,-5736780.0,50.0,沪深主力连续
2019-02-27,0.0,0.0,0.0,0.0,300.0,3685.2,8291700.0,0.15,IF88,3319.348,8291700.0,-5487780.0,50.0,沪深主力连续
2019-02-28,0.0,0.0,0.0,0.0,300.0,3677.4,8274150.0,0.15,IF88,3319.348,8274150.0,-5370780.0,50.0,沪深主力连续
2019-03-01,0.0,0.0,0.0,0.0,300.0,3750.0,8437500.0,0.15,IF88,3319.348,8437500.0,-6459780.0,50.0,沪深主力连续
2019-03-04,0.0,0.0,0.0,0.0,300.0,3786.8,8520300.0,0.15,IF88,3319.348,8520300.0,-7011780.0,50.0,沪深主力连续
2019-03-05,0.0,0.0,0.0,0.0,300.0,3822.8,8601300.0,0.15,IF88,3319.348,8601300.0,-7551780.0,50.0,沪深主力连续
2019-03-06,0.0,0.0,0.0,0.0,300.0,3846.6,8654850.0,0.15,IF88,3319.348,8654850.0,-7908780.0,50.0,沪深主力连续
2019-03-07,0.0,0.0,0.0,0.0,300.0,3808.8,8569800.0,0.15,IF88,3319.348,8569800.0,-7341780.0,50.0,沪深主力连续
2019-03-08,0.0,0.0,0.0,0.0,300.0,3673.2,8264700.0,0.15,IF88,3319.348,8264700.0,-5307780.0,50.0,沪深主力连续
2019-03-11,0.0,0.0,0.0,0.0,300.0,3721.0,8372250.0,0.15,IF88,3319.348,8372250.0,-6024780.0,50.0,沪深主力连续
2019-03-12,0.0,0.0,0.0,0.0,300.0,3747.4,8431650.0,0.15,IF88,3319.348,8431650.0,-6420780.0,50.0,沪深主力连续
2019-03-13,0.0,0.0,0.0,0.0,300.0,3720.8,8371800.0,0.15,IF88,3319.348,8371800.0,-6021780.0,50.0,沪深主力连续
2019-03-14,0.0,0.0,0.0,0.0,300.0,3699.0,8322750.0,0.15,IF88,3319.348,8322750.0,-5694780.0,50.0,沪深主力连续
2019-03-15,0.0,0.0,0.0,0.0,300.0,3751.6,8441100.0,0.15,IF88,3319.348,8441100.0,-6483780.0,50.0,沪深主力连续
