date,cash,daily_pnl,margin,market_value,position_pnl,total_value,trading_pnl,transaction_cost
2018-02-07,34611638.431,1374000.0,4527600.0,-45276000.0,1374000.0,39139238.431,0.0,0.0
2018-02-08,35971238.431,1236000.0,4404000.0,-44040000.0,1236000.0,40375238.431,0.0,0.0
2018-02-09,38650838.431,2436000.0,4160400.0,-41604000.0,2436000.0,42811238.431,0.0,0.0
2018-02-12,38343938.431,-279000.0,4188300.0,-41883000.0,-279000.0,42532238.431,0.0,0.0
2018-02-13,37601438.431,-675000.0,4255800.0,-42558000.0,-675000.0,41857238.431,0.0,0.0
2018-02-14,37106438.431,-450000.0,4300800.0,-43008000.0,-450000.0,41407238.431,0.0,0.0
2018-02-22,36301238.431,-732000.0,4374000.0,-43740000.0,-732000.0,40675238.431,0.0,0.0
2018-02-23,35677538.431,-567000.0,4430700.0,-44307000.0,-567000.0,40108238.431,0.0,0.0
2018-02-26,35377238.431,-273000.0,4458000.0,-44580000.0,-273000.0,39835238.431,0.0,0.0
2018-02-27,36274838.431,816000.0,4376400.0,-43764000.0,816000.0,40651238.431,0.0,0.0
2018-02-28,37080038.431,732000.0,4303200.0,-43032000.0,732000.0,41383238.431,0.0,0.0
2018-03-01,36792938.431,-261000.0,4329300.0,-43293000.0,-261000.0,41122238.431,0.0,0.0
2018-03-02,37205438.431,375000.0,4291800.0,-42918000.0,375000.0,41497238.431,0.0,0.0
2018-03-05,37287938.431,75000.0,4284300.0,-42843000.0,75000.0,41572238.431,0.0,0.0
2018-03-06,36634538.431,-594000.0,4343700.0,-43437000.0,-594000.0,40978238.431,0.0,0.0
2018-03-07,37010738.431,342000.0,4309500.0,-43095000.0,342000.0,41320238.431,0.0,0.0
2018-03-08,36568538.431,-402000.0,4349700.0,-43497000.0,-402000.0,40918238.431,0.0,0.0
2018-03-09,36426638.431,-129000.0,4362600.0,-43626000.0,-129000.0,40789238.431,0.0,0.0
2018-03-12,36400238.431,-24000.0,4365000.0,-43650000.0,-24000.0,40765238.431,0.0,0.0
2018-03-13,36981038.431,528000.0,4312200.0,-43122000.0,528000.0,41293238.431,0.0,0.0
2018-03-14,37089938.431,99000.0,4302300.0,-43023000.0,99000.0,41392238.431,0.0,0.0
2018-03-15,36578438.431,-465000.0,4348800.0,-43488000.0,-465000.0,40927238.431,0.0,0.0
2018-03-16,37149338.431,519000.0,4296900.0,-42969000.0,519000.0,41446238.431,0.0,0.0
2018-03-19,36608138.431,-492000.0,4346100.0,-43461000.0,-492000.0,40954238.431,0.0,0.0
2018-03-20,36565238.431,-39000.0,4350000.0,-43500000.0,-39000.0,40915238.431,0.0,0.0
2018-03-21,36829238.431,240000.0,4326000.0,-43260000.0,240000.0,41155238.431,0.0,0.0
2018-03-22,37241738.431,375000.0,4288500.0,-42885000.0,375000.0,41530238.431,0.0,0.0
2018-03-23,39297638.431,1869000.0,4101600.0,-41016000.0,1869000.0,43399238.431,0.0,0.0
2018-03-26,39376838.431,72000.0,4094400.0,-40944000.0,72000.0,43471238.431,0.0,0.0
2018-03-27,39234938.431,-129000.0,4107300.0,-41073000.0,-129000.0,43342238.431,0.0,0.0
2018-03-28,40370138.431,1032000.0,4004100.0,-40041000.0,1032000.0,44374238.431,0.0,0.0
2018-03-29,39310838.431,-963000.0,4100400.0,-41004000.0,-963000.0,43411238.431,0.0,0.0
2018-03-30,39660638.431,318000.0,4068600.0,-40686000.0,318000.0,43729238.431,0.0,0.0
2018-04-02,39931238.431,246000.0,4044000.0,-40440000.0,246000.0,43975238.431,0.0,0.0
2018-04-03,39832238.431,-90000.0,4053000.0,-40530000.0,-90000.0,43885238.431,0.0,0.0
2018-04-04,39898238.431,60000.0,4047000.0,-40470000.0,60000.0,43945238.431,0.0,0.0
2018-04-09,39571538.431,-297000.0,4076700.0,-40767000.0,-297000.0,43648238.431,0.0,0.0
2018-04-10,38515538.431,-960000.0,4172700.0,-41727000.0,-960000.0,42688238.431,0.0,0.0
2018-04-11,38545238.431,27000.0,4170000.0,-41700000.0,27000.0,42715238.431,0.0,0.0
2018-04-12,39086438.431,492000.0,4120800.0,-41208000.0,492000.0,43207238.431,0.0,0.0
2018-04-13,39522038.431,396000.0,4081200.0,-40812000.0,396000.0,43603238.431,0.0,0.0
2018-04-16,40630838.431,1008000.0,3980400.0,-39804000.0,1008000.0,44611238.431,0.0,0.0
